N,Scale,ApproxArea,RelativeError
100,3,1.26,0.334015
600,3,0.765,0.190062
1100,3,0.924545,0.0211449
1600,3,0.905625,0.0411768
2100,3,0.968571,0.0254672
2600,3,0.834231,0.116765
3100,3,1.00161,0.0604496
3600,3,0.9675,0.0243329
4100,3,0.90439,0.0424841
4600,3,0.986087,0.0440117
5100,3,0.884118,0.0639475
5600,3,0.981964,0.0396468
6100,3,0.966393,0.0231613
6600,3,0.906818,0.0399135
7100,3,0.878451,0.0699474
7600,3,0.907105,0.0396096
8100,3,0.916667,0.0294865
8600,3,0.947093,0.00272715
9100,3,0.906923,0.0398025
9600,3,0.938437,0.00643682
10100,3,1.00158,0.0604192
10600,3,0.936509,0.00847814
11100,3,0.914595,0.0316803
11600,3,0.920172,0.0257748
12100,3,0.931983,0.01327
12600,3,0.960714,0.0171485
13100,3,0.917176,0.0289477
13600,3,0.937059,0.00789648
14100,3,0.92617,0.0194247
14600,3,0.967192,0.0240065
15100,3,0.933974,0.011163
15600,3,0.930577,0.0147591
16100,3,0.913975,0.0323361
16600,3,0.956386,0.0125655
17100,3,0.921579,0.0242857
17600,3,0.965966,0.0227087
18100,3,0.929834,0.0155454
18600,3,0.946452,0.00204806
19100,3,0.93911,0.00572487
19600,3,0.957398,0.0136374
20100,3,0.936716,0.008259
20600,3,0.913544,0.0327929
21100,3,0.939668,0.00513378
21600,3,0.945417,0.000952318
22100,3,0.944796,0.000295595
22600,3,0.925088,0.02057
23100,3,0.945195,0.000717424
23600,3,0.912585,0.0338082
24100,3,0.93473,0.0103618
24600,3,0.938415,0.00646103
25100,3,0.945179,0.00070099
25600,3,0.913008,0.0333603
26100,3,0.944138,0.000401533
26600,3,0.948722,0.00445161
27100,3,0.928893,0.016542
27600,3,0.942065,0.002596
28100,3,0.937153,0.00779675
28600,3,0.950979,0.00684142
29100,3,0.918866,0.027158
29600,3,0.919459,0.0265297
30100,3,0.926013,0.0195909
30600,3,0.913824,0.0324967
31100,3,0.961061,0.0175157
31600,3,0.932184,0.0130581
32100,3,0.944019,0.000527777
32600,3,0.936994,0.00796526
33100,3,0.96145,0.0179276
33600,3,0.937768,0.0071458
34100,3,0.945396,0.000930326
34600,3,0.950723,0.00656987
35100,3,0.931795,0.0134696
35600,3,0.940197,0.00457435
36100,3,0.938892,0.00595566
36600,3,0.930738,0.0145889
37100,3,0.945364,0.000896432
37600,3,0.969415,0.0263602
38100,3,0.946535,0.0021368
38600,3,0.932876,0.0123254
39100,3,0.950179,0.00599443
39600,3,0.935682,0.00935437
40100,3,0.941521,0.00317198
40600,3,0.929926,0.0154482
41100,3,0.926715,0.0188476
41600,3,0.961226,0.0176903
42100,3,0.937197,0.00775003
42600,3,0.946479,0.00207692
43100,3,0.938005,0.00689511
43600,3,0.932615,0.0126017
44100,3,0.935918,0.00910393
44600,3,0.952466,0.00841613
45100,3,0.947295,0.00294088
45600,3,0.948553,0.0042725
46100,3,0.954078,0.0101225
46600,3,0.938627,0.0062366
47100,3,0.928662,0.0167861
47600,3,0.947647,0.00331373
48100,3,0.947526,0.00318554
48600,3,0.945926,0.00149149
49100,3,0.940326,0.00443753
49600,3,0.931573,0.013705
50100,3,0.953174,0.00916496
50600,3,0.940731,0.00400836
51100,3,0.928708,0.0167374
51600,3,0.95407,0.0101137
52100,3,0.948714,0.00444336
52600,3,0.953042,0.00902539
53100,3,0.97339,0.0305687
53600,3,0.937108,0.00784419
54100,3,0.969704,0.0266666
54600,3,0.96989,0.0268634
55100,3,0.934301,0.010816
55600,3,0.956493,0.0126791
56100,3,0.962086,0.0186004
56600,3,0.95788,0.0141476
57100,3,0.952644,0.00860471
